,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,,,,,,,,### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
,DE,GL,,,R_,B_,_ur,_ur,Source,R_DEGL_ur,R_DEGL_ur,B_DEGL_ur,,,,,,,,5.96,,,,,,,,,
,DE,GL,,,R_,B_,_li,_li,Source,R_DEGL_li,R_DEGL_li,B_DEGL_li,,,,,,,,27.59,,,,,,,,,
,DE,GL,,,R_,B_,_hc,_hc,Source,R_DEGL_hc,R_DEGL_hc,B_DEGL_hc,,,,,,,,45.87,,,,,,,,,
,DE,GL,,,R_,B_,_gas,_gas,Source,R_DEGL_gas,R_DEGL_gas,B_DEGL_gas,,,,,,,,54.05,,,,,,,,,
,DE,GL,,,R_,B_,_oil,_oil,Source,R_DEGL_oil,R_DEGL_oil,B_DEGL_oil,,,,,,,,86.87,,,,,,,,,
,DE,GL,,,R_,B_,_mf,_mf,Source,R_DEGL_mf,R_DEGL_mf,B_DEGL_mf,,,,,,,,27.25,,,,,,,,,
,DE,GL,,,R_,B_,_bm,_bm,Source,R_DEGL_bm,R_DEGL_bm,B_DEGL_bm,,,,,,,,27.73,,,,,,,,,
Konvertergas,DE,GL,,,R_,B_,_cg,_cg,Source,R_DEGL_cg,R_DEGL_cg,B_DEGL_cg,,,,,,,,0.00,,,,,,,,,
Abfall (waste),DE,GL,,,R_,B_,_w,_w,Source,R_DEGL_w,R_DEGL_w,B_DEGL_w,,,,,,,,0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hier keine seq,nur zum test",DE,15,,,LD_,B_,_el,_el,Sink,LD_DE15_el,B_DE15_el,LD_DE15_el,,,,,,,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_1_dhg_HPPek_1_: Linden_GuD_EK_mit_HP,,,,,,,,,,,,,,,,,,,,
"BNA0418, Linden",DE,15,1,_1,EK_,B_,_gas,_gas,LinearTransformer,EK_DE151_1_gas,B_DEGL_gas,EK_DE151_1_gas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0418, Linden",DE,15,1,_1,EK_,B_,_gas,_el,LinearTransformer,EK_DE151_1_gas,EK_DE151_1_gas,B_DE15_el,0.55,255.00,,,,,,,,,,,,,,,
"BNA0418, Linden",DE,15,1,_1,EK_,B_,_gas,_th,LinearTransformer,EK_DE151_1_gas,EK_DE151_1_gas,B_DE151_1_th,0.35,185.00,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,###DE15_dhg1_HP(2Stueck)_Regel- und Heisswasserkessel_Linden ,,,,,,,,,,,,,,,,,,,,
"BNA0418, Linden",DE,15,1,_1,HK_,B_,_gas,,LinearTransformer,HK_DE151_1_gas,B_DEGL_gas,HK_DE151_1_gas,,,,,,,,,,,,,,,,,
"BNA0418, Linden",DE,15,1,_1,HK_,B_,_gas,_th,LinearTransformer,HK_DE151_1_gas,HK_DE151_1_gas,B_DE151_1_th,0.92,210.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HKW_Linden, Hannover",DE,15,1,_1,Cex_,B_,,_th,Sink,Cex_DE151_1,B_DE151_1_th,Cex_DE151_1,,,,185.00,,,,0.00,,,,,,,,,
"HKW_Linden, Hannover",DE,15,1,_1,HPP_,B_,_th,_th,LinearTransformer,HPP_DE151_1_th,B_DE151_1_th,HPP_DE151_1_th,,,,,,,,,,,,,,,,,
"HKW_Linden, Hannover",DE,15,1,_1,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DE151_1_th,HPP_DE151_1_th,B_DE151_hhg,1.00,395.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_1_dhg_HPPek_2_: Stöcken_DT_EK,,,,,,,,,,,,,,,,,,,,
"BNA0420_21, Stoecken",DE,15,1,_2,EK_,B_,_hc,_hc,LinearTransformer,EK_DE151_2_hc,B_DEGL_hc,EK_DE151_2_hc,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0420_21, Stoecken",DE,15,1,_2,EK_,B_,_hc,_el,LinearTransformer,EK_DE151_2_hc,EK_DE151_2_hc,B_DE15_el,0.36,300.00,,,,,,,,,,,,,,,
"BNA0420_21, Stoecken",DE,15,1,_2,EK_,B_,_hc,_th,LinearTransformer,EK_DE151_2_hc,EK_DE151_2_hc,B_DE151_2_th,0.52,425.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HKW_Stoecken, Hannver",DE,15,1,_2,Cex_,B_,,_th,Sink,Cex_DE151_2,B_DE151_2_th,Cex_DE151_2,,,,425.00,,,,0.00,,,,,,,,,
"HKW_Stoecken, Hannver",DE,15,1,_2,HPP_,B_,_th,_th,LinearTransformer,HPP_DE151_2_th,B_DE151_2_th,HPP_DE151_2_th,,,,,,,,,,,,,,,,,
"HKW_Stoecken, Hannver",DE,15,1,_2,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DE151_2_th,HPP_DE151_2_th,B_DE151_hhg,0.00,425.00,,,,,,,,,,,,,,,
"HKW_Stoecken, Hannver",DE,15,1,_2,HPP_,B_,_th,_ind,LinearTransformer,HPP_DE151_2_th,HPP_DE151_2_th,B_DE151_ind,1.00,425.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_1_dhg_HPPek_3_: Herrenhausen_DT_EK,,,,,,,,,,,,,,,,,,,,
"BNA0419, Linden",DE,15,1,_3,EK_,B_,_gas,_gas,LinearTransformer,EK_DE151_3_gas,B_DEGL_gas,EK_DE151_3_gas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0419, Linden",DE,15,1,_3,EK_,B_,_gas,_el,LinearTransformer,EK_DE151_3_gas,EK_DE151_3_gas,B_DE15_el,0.38,120.00,,,,,,,,,,,,,,,
"BNA0419, Linden",DE,15,1,_3,EK_,B_,_gas,_th,LinearTransformer,EK_DE151_3_gas,EK_DE151_3_gas,B_DE151_3_th,0.42,280.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HKW_Herrenhausen, Hannover",DE,15,1,_3,Cex_3_,B_,_gas,_th,Sink,Cex_3_DE151_3_gas,B_DE151_3_th,Cex_3_DE151_3_gas,,,,280.00,,,,0.00,,,,,,,,,
"HKW_Herrenhausen, Hannover",DE,15,1,_3,HPP_,B_,_th,_th,LinearTransformer,HPP_DE151_3_th,B_DE151_3_th,HPP_DE151_3_th,,,,,,,,,,,,,,,,,
"HKW_Herrenhausen, Hannover",DE,15,1,_3,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DE151_3_th,HPP_DE151_3_th,B_DE151_hhg,1.00,280.00,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,15,1,,LD_,B_,_hhg,_hhg,Sink,LD_DE151_hhg,B_DE151_hhg,LD_DE151_hhg,,174.68,,,,seq,,,TRUE,,,,,,,,
"Hier keine seq,nur zum test",DE,15,1,,LD_,B_,_ind,_ind,Sink,LD_DE151_ind,B_DE151_ind,LD_DE151_ind,,11.90,,,,seq,,,TRUE,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,15,1,,R_,B_,_hhg,_hhg,Source,R_DE151_hhg,R_DE151_hhg,B_DE151_hhg,,,,,,,,10000.00,,,,,,,,,
"Das soll eigentlich nicht, ist nur notfallsource",DE,15,1,,R_,B_,_ind,_ind,Source,R_DE151_ind,R_DE151_ind,B_DE151_ind,,,,,,,,10000.00,,,,,,,,,
